District,School,School Type,Overall Points,Overall Possible,Grade,All Students Participation,Below Proficient Participation,Growth ELA All Students,Growth ELA All Students Possible,Growth Math All Students,Growth Math All Students Possible,Growth Science All Students,Growth Science All Students Possible,Growth ELA Below Proficient,Growth ELA Below Proficient Possible,Growth Math Below Proficient,Growth Math Below Proficient Possible,Growth Science Below Proficient,Growth Science Below Proficient Possible,ELA Proficient,ELA Proficient Possible,Math Proficient,Math Proficient Possible,Science Proficient,Science Proficient Possible,College Career Readiness GRAD,College Career Readiness GRAD Possible,Number of Students Meeting All Four CCR Benchmarks ACT,College Career Readiness ACT Possible
AMERICAN PREPARATORY ACADEMY,AMERICAN PREPARATORY ACADEMY--THE SCHOOL FOR NEW AMERICANS,Elem/Middle/Jr High School,284,600,C,99.9%,99.68%,35,50,37,50,28,50,37,50,39,50,26,50,29,100,32,100,21,100,NA,NA,NA,NA
ARISTOTLE ACADEMY,ARISTOTLE ACADEMY,Elem/Middle/Jr High School,224,600,D,100%,100%,32,50,29,50,27,50,25,50,28,50,28,50,20,100,15,100,20,100,NA,NA,NA,NA
BEAR RIVER CHARTER SCHOOL,BEAR RIVER CHARTER SCHOOL,Elem/Middle/Jr High School,292,600,C,100%,100%,32,50,29,50,29,50,NA,NA,23,150,NA,NA,62,100,55,100,62,100,NA,NA,NA,NA
BEAVER DISTRICT,BEAVER HIGH,High School Report,327,900,F,99.72%,99.44%,15,50,17,50,17,50,19,50,22,50,13,50,29,100,29,100,35,100,119,150,12,150
BEAVER DISTRICT,BELKNAP SCHOOL,Elem/Middle/Jr High School,287,600,C,100%,100%,21,50,22,50,25,50,38,50,25,50,36,50,37,100,41,100,42,100,NA,NA,NA,NA
BEAVER DISTRICT,MILFORD HIGH,High School Report,340,900,F,100%,100%,16,50,20,50,19,50,11,50,20,50,13,50,18,100,20,100,34,100,140,150,29,150
BEAVER DISTRICT,MILFORD SCHOOL,Elem/Middle/Jr High School,266,600,C,100%,100%,44,100,37,100,52,100,NA,NA,NA,NA,NA,NA,41,100,42,100,50,100,NA,NA,NA,NA
BEAVER DISTRICT,MINERSVILLE SCHOOL,Elem/Middle/Jr High School,257,600,C,100%,100%,46,100,28,100,55,100,NA,NA,NA,NA,NA,NA,44,100,37,100,47,100,NA,NA,NA,NA
BEAVER DISTRICT,MINERSVILLE SCHOOL,Elem/Middle/Jr High School,389,600,A,100%,100%,70,100,73,100,49,100,NA,NA,NA,NA,NA,NA,59,100,73,100,65,100,NA,NA,NA,NA
BEEHIVE SCIENCE & TECHNOLOGY ACADEMY (BSTA),BEEHIVE SCIENCE & TECHNOLOGY ACADEMY (BSTA),Elem/Middle/Jr High School,254,600,C,100%,100%,20,50,24,50,22,50,17,50,30,50,24,50,35,100,40,100,42,100,NA,NA,NA,NA
